Title,Genre,Premiere,Runtime,IMDB Score,Language,Day Released
Over the Moon,Animation/Musical/Adventure,10/23/2020,95,6.4,English,Friday
Street Flow,Drama,10/12/2019,96,6.4,French,Saturday
Strong Island,Documentary,9/15/2017,107,6.4,English,Friday
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,9/27/2019,41,6.4,English,Friday
Take Your Pills,Documentary,3/16/2018,87,6.4,English,Friday
The Heartbreak Club,Comedy-drama,1/14/2021,101,6.4,Indonesian,Thursday
The Mars Generation,Documentary,5/5/2017,97,6.4,English,Friday
The Occupant,Thriller,3/25/2020,103,6.4,Spanish,Wednesday
The Willoughbys,Animation/Comedy/Adventure,4/22/2020,90,6.4,English,Wednesday
Triple Frontier,Action-thriller,3/13/2019,125,6.4,English,Wednesday
Two Catalonias,Documentary,9/28/2018,116,6.4,Spanish/Catalan,Friday
Walk. Ride. Rodeo.,Drama,3/8/2019,99,6.4,English,Friday
Wheelman,Action thriller,10/20/2017,82,6.4,English,Friday
When We First Met,Romantic comedy,2/9/2018,97,6.4,English,Friday
A 3 Minute Hug,Documentary,10/28/2019,28,6.5,English/Spanish,Monday
All the Bright Places,Romance,2/28/2020,108,6.5,English,Friday
All Together Now,Drama,8/28/2020,93,6.5,English,Friday
Altered Carbon: Resleeved,Anime/Science fiction,3/19/2020,74,6.5,Japanese,Thursday
Antoine Griezmann: The Making of a Legend,Documentary,3/21/2019,60,6.5,French,Thursday
Canvas ,Animation / Short,12/11/2020,9,6.5,English,Friday
Chadwick Boseman: Portrait of an Artist,Documentary,4/17/2021,21,6.5,English,Saturday
Chopsticks,Comedy,5/31/2019,100,6.5,Hindi,Friday
Da 5 Bloods,War drama,6/12/2020,155,6.5,English,Friday
Dolly Parton: A MusiCares Tribute,Documentary,4/7/2021,55,6.5,English,Wednesday
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,6/26/2020,123,6.5,English,Friday
Gerald's Game,Horror thriller,9/29/2017,103,6.5,English,Friday
His House,Thriller,10/30/2020,93,6.5,English,Friday
Jingle Jangle: A Christmas Journey,Family/Christmas musical,11/13/2020,119,6.5,English,Friday
Life Overtakes Me,Documentary,6/14/2019,40,6.5,English/Swedish,Friday
Lust Stories,Drama,6/15/2018,120,6.5,Hindi,Friday
Monster,Drama,5/7/2021,98,6.5,English,Friday
Mowgli: Legend of the Jungle,Adventure,12/7/2018,104,6.5,English,Friday
Nobody Knows I'm Here,Drama,6/24/2020,91,6.5,Spanish,Wednesday
Nobody Speak: Trials of the Free Press,Documentary,6/23/2017,95,6.5,English,Friday
Oxygen,Science fiction thriller,5/12/2021,101,6.5,French,Wednesday
Set It Up,Romantic comedy,6/15/2018,105,6.5,English,Friday
The Incredible Jessica James,Comedy,7/28/2017,83,6.5,English,Friday
Tigertail,Drama,4/10/2020,91,6.5,English/Taiwanese/Mandarin,Friday
Tramps,Romance,4/21/2017,83,6.5,English,Friday
What Did Jack Do?,Drama / Short,1/20/2020,17,6.5,English,Monday
Bad Trip,Hidden-camera prank comedy,3/26/2021,86,6.6,English,Friday
Bird Box,Psychological thriller,12/21/2018,124,6.6,English,Friday
Bulbbul,Horror,6/24/2020,94,6.6,Hindi,Wednesday
Crazy About Her,Romantic comedy,2/26/2021,102,6.6,Spanish,Friday
Elisa & Marcela,Romance,6/7/2019,118,6.6,Spanish,Friday
I'll Sleep When I'm Dead,Documentary,8/19/2016,79,6.6,English,Friday
I'm Thinking of Ending Things,Psychological thriller,9/4/2020,134,6.6,English,Friday
It Takes a Lunatic,Documentary,10/25/2019,126,6.6,English,Friday
Milestone,Drama,5/7/2021,98,6.6,Hindi,Friday
Recovery Boys,Documentary,6/29/2018,89,6.6,English,Friday
ReMastered: Who Killed Jam Master Jay?,Documentary,12/7/2018,58,6.6,English,Friday
Shawn Mendes: In Wonder,Documentary,11/23/2020,83,6.6,English,Monday
Space Sweepers,Science fiction,2/5/2021,136,6.6,Korean,Friday
The American Meme,Documentary,12/7/2018,98,6.6,English,Friday
The Angel,Spy thriller,9/14/2018,114,6.6,English,Friday
The Crimes That Bind,Crime drama,8/20/2020,99,6.6,Spanish,Thursday
The Red Sea Diving Resort,Spy thriller,7/31/2019,130,6.6,English,Wednesday
What Would Sophia Loren Do?,Documentary,1/15/2021,32,6.6,English,Friday
A Whisker Away,Anime/Fantasy,6/18/2020,104,6.7,Japanese,Thursday
Ajeeb Daastaans,Drama,4/16/2021,142,6.7,Hindi,Friday
Arlo the Alligator Boy,Animated musical comedy,4/16/2021,92,6.7,English,Friday
"Bikram: Yogi, Guru, Predator",Documentary,11/20/2019,86,6.7,English,Wednesday
Blame!,Anime/Science fiction,5/20/2017,106,6.7,Japanese,Saturday
Blue Miracle,Drama,5/27/2021,95,6.7,English,Thursday
CounterPunch ,Documentary,6/16/2017,91,6.7,English,Friday
"Crack: Cocaine, Corruption & Conspiracy",Documentary,1/11/2021,89,6.7,English,Monday
Extraction,Action,4/24/2020,117,6.7,English,Friday
Giving Voice,Documentary,12/11/2020,90,6.7,English,Friday
Hillbilly Elegy,Drama,11/24/2020,117,6.7,English,Tuesday
Hope Frozen: A Quest to Live Twice,Documentary,9/15/2020,80,6.7,Thia/English,Tuesday
Imperial Dreams,Drama,2/3/2017,87,6.7,English,Friday
Just Another Christmas,Comedy,12/3/2020,101,6.7,Portuguese,Thursday
Little Miss Sumo,Documentary,10/28/2019,19,6.7,Japanese,Monday
Malcolm & Marie,Romantic drama,2/5/2021,106,6.7,English,Friday
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,2/7/2017,54,6.7,English,Tuesday
Moxie,Drama,3/3/2021,111,6.7,English,Wednesday
Night in Paradise,Drama,4/9/2021,132,6.7,Korean,Friday
Paper Lives,Drama,3/12/2021,97,6.7,Turkish,Friday
Parchis: The Documentary,Documentary,7/10/2019,106,6.7,Spanish,Wednesday
Tallulah,Comedy-drama,7/29/2016,111,6.7,English,Friday
The Old Guard,Superhero/Action,7/10/2020,124,6.7,English,Friday
Tony Robbins: I Am Not Your Guru,Documentary,7/15/2016,116,6.7,English,Friday
Upstarts,Drama,10/18/2019,112,6.7,Hindi,Friday
7 años,Drama,10/28/2016,76,6.8,Spanish,Friday
A Futile and Stupid Gesture,Biographical/Comedy,1/26/2018,101,6.8,English,Friday
A Life of Speed: The Juan Manuel Fangio Story,Documentary,3/20/2020,92,6.8,Spanish,Friday
A Love Song for Latasha,Documentary,9/21/2020,19,6.8,English,Monday
All in My Family,Documentary,5/3/2019,39,6.8,English/Mandarin,Friday
Always Be My Maybe,Romantic comedy,5/31/2019,102,6.8,English,Friday
Becoming,Documentary,5/6/2020,89,6.8,English,Wednesday
Long Live Brij Mohan,Comedy,8/3/2018,105,6.8,Hindi,Friday
Calibre,Thriller,6/29/2018,101,6.8,English,Friday
Death to 2020,Comedy,12/27/2020,70,6.8,English,Sunday
GIMS: On the Record,Documentary,9/17/2020,96,6.8,French,Thursday
Have a Good Trip: Adventures in Psychedelics,Documentary,5/11/2020,85,6.8,English,Monday
Heroin(e) ,Documentary,9/12/2017,39,6.8,English,Tuesday
Mercury 13,Documentary,4/20/2018,79,6.8,English,Friday
Saving Capitalism,Documentary,11/21/2017,73,6.8,English,Tuesday
Serious Men,Drama,10/2/2020,114,6.8,Hindi,Friday
The Boys in the Band,Drama,9/30/2020,121,6.8,English,Wednesday
The Boys in the Band: Something Personal,Aftershow / Interview,9/30/2020,28,6.8,English,Wednesday
The Life Ahead,Drama,11/13/2020,95,6.8,Italian,Friday
The Other Side of the Wind,Drama,11/2/2018,122,6.8,English,Friday
The Trader,Documentary,2/9/2018,23,6.8,Georgian,Friday
To the Bone,Drama,7/14/2017,107,6.8,English,Friday
Tony Parker: The Final Shot,Documentary,1/6/2021,98,6.8,French,Wednesday
AK vs AK,Thriller,12/24/2020,108,6.9,Hindi,Thursday
Amanda Knox,Documentary,9/30/2016,92,6.9,English,Friday
Bigflo & Oil: Hip Hop Frenzy,Documentary,10/8/2020,100,6.9,French,Thursday
Biggie: I Got a Story to Tell,Documentary,3/1/2021,97,6.9,English,Monday
Cops and Robbers,Animation / Short,12/28/2020,7,6.9,English,Monday
I Don't Feel at Home in This World Anymore,Drama,2/24/2017,96,6.9,English,Friday
Laerte-se,Documentary,5/19/2017,100,6.9,Portuguese,Friday
Mank,Biopic,12/4/2020,132,6.9,English,Friday
Our Souls at Night,Romance,9/29/2017,103,6.9,English,Friday
Outlaw King,Historical-epic,11/9/2018,121,6.9,English,Friday
Pagglait,Comedy-drama,3/26/2021,114,6.9,Hindi,Friday
ReMastered: Who Shot the Sheriff?,Documentary,10/12/2018,57,6.9,English,Friday
Seeing Allred,Documentary,2/9/2018,95,6.9,English,Friday
Spelling the Dream,Documentary,6/3/2020,83,6.9,English,Wednesday
The Claudia Kishi Club,Documentary,7/10/2020,17,6.9,English,Friday
The Half of It,Romance,5/1/2020,105,6.9,English,Friday
The Highwaymen,Crime drama,3/29/2019,131,6.9,English,Friday
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy / Musical,5/23/2019,30,6.9,English,Thursday
The Meyerowitz Stories (New and Selected),Comedy-drama,10/13/2017,112,6.9,English,Friday
Feminists: What Were They Thinking?,Documentary,10/12/2018,86,7.0,English,Friday
Gaga: Five Foot Two,Documentary,9/22/2017,100,7.0,English,Friday
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,11/3/2020,14,7.0,English,Tuesday
Kingdom of Us,Documentary,10/13/2017,109,7.0,English,Friday
"Lorena, Light-Footed Woman",Documentary,11/20/2019,28,7.0,Spanish,Wednesday
Los Tigres del Norte at Folsom Prison,Documentary,9/15/2019,64,7.0,Spanish,Sunday
Ma Rainey's Black Bottom,Drama,12/18/2020,94,7.0,English,Friday
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,12/18/2020,31,7.0,English,Friday
Operation Varsity Blues: The College Admissions Scandal,Documentary,3/17/2021,99,7.0,English,Wednesday
Pele,Documentary,2/23/2021,108,7.0,English,Tuesday
ReMastered: Devil at the Crossroads,Documentary,4/26/2019,48,7.0,English,Friday
ReMastered: The Lion's Share,Documentary,5/17/2019,84,7.0,English,Friday
ReMastered: The Miami Showband Massacre,Documentary,3/22/2019,70,7.0,English,Friday
Resurface,Documentary,9/1/2017,27,7.0,English,Friday
Rocko's Modern Life: Static Cling,Animation / Comedy,8/9/2019,45,7.0,English,Friday
Rose Island,Comedy,12/9/2020,117,7.0,Italian,Wednesday
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,11/22/2018,104,7.0,English,Thursday
The Dirt,Biopic,3/22/2019,108,7.0,English,Friday
The Night Comes for Us,Action-thriller,10/19/2018,121,7.0,Indonesian,Friday
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,1/26/2017,36,7.1,English,Thursday
Angela's Christmas,Animation,11/30/2018,30,7.1,English,Friday
Angela's Christmas Wish,Animation,12/1/2020,47,7.1,English,Tuesday
Beats,Drama,6/19/2019,110,7.1,English,Wednesday
Circus of Books,Documentary,4/22/2020,92,7.1,English,Wednesday
Dance Dreams: Hot Chocolate Nutcracker,Documentary,11/27/2020,80,7.1,English,Friday
Derren Brown: Sacrifice,Mentalism special,10/19/2018,49,7.1,English,Friday
El Pepe: A Supreme Life,Documentary,12/27/2019,73,7.1,Spanish,Friday
End Game,Documentary,5/4/2018,40,7.1,English,Friday
Evelyn,Documentary,9/10/2019,96,7.1,English,Tuesday
Ferry,Crime drama,5/14/2021,106,7.1,Dutch,Friday
Grass Is Greener,Documentary,4/20/2019,97,7.1,English,Saturday
Guillermo Vilas: Settling the Score,Documentary,10/27/2020,94,7.1,Spanish,Tuesday
Joshua: Teenager vs. Superpower,Documentary,5/26/2017,78,7.1,English,Friday
Keith Richards: Under the Influence,Documentary,9/18/2015,81,7.1,English,Friday
Knock Down the House,Documentary,5/1/2019,87,7.1,English,Wednesday
Loudon Wainwright III: Surviving Twin,One-man show,11/13/2018,91,7.1,English,Tuesday
My Beautiful Broken Brain,Documentary,3/18/2016,91,7.1,English,Friday
One of Us,Documentary,10/20/2017,95,7.1,English,Friday
Pieces of a Woman,Drama,1/7/2021,126,7.1,English,Thursday
"Ram Dass, Going Home",Documentary,4/6/2018,31,7.1,English,Friday
ReMastered: Tricky Dick & the Man in Black,Documentary,11/2/2018,58,7.1,English,Friday
Rooting for Roona,Documentary,10/15/2020,41,7.1,Bengali,Thursday
The Devil All the Time,Psychological thriller,9/16/2020,138,7.1,English,Wednesday
The Dig,Drama,1/29/2021,112,7.1,English,Friday
The Great Hack,Documentary,7/24/2019,114,7.1,English,Wednesday
The White Tiger,Drama,1/22/2021,125,7.1,English,Friday
To All the Boys I've Loved Before,Romantic comedy,8/17/2018,99,7.1,English,Friday
American Murder: The Family Next Door,Documentary,9/30/2020,82,7.2,English,Wednesday
Audrie & Daisy,Documentary,9/23/2016,98,7.2,English,Friday
First They Killed My Father,Drama,9/15/2017,136,7.2,Khmer/English/French,Friday
Fyre: The Greatest Party That Never Happened,Documentary,1/18/2019,97,7.2,English,Friday
Into the Inferno,Documentary,10/28/2016,107,7.2,English,Friday
LA Originals,Documentary,4/10/2020,92,7.2,English,Friday
Ladies First,Documentary,3/8/2018,39,7.2,English/Hindi,Thursday
Love per Square Foot,Romantic comedy,2/14/2018,133,7.2,Hindi,Wednesday
Paddleton,Drama-Comedy,2/22/2019,89,7.2,English,Friday
Private Life,Drama,10/5/2018,124,7.2,English,Friday
Seventeen,Coming-of-age comedy-drama,10/18/2019,99,7.2,Spanish,Friday
Sometimes,Drama,5/1/2018,101,7.2,Tamil,Tuesday
Soni,Crime drama,1/18/2019,97,7.2,Hindi,Friday
The 40-Year-Old Version,Comedy,10/9/2020,124,7.2,English,Friday
The Disciple,Drama,4/30/2021,129,7.2,Marathi,Friday
The Edge of Democracy,Documentary,6/19/2019,121,7.2,Portuguese,Wednesday
The King,Historical drama,11/1/2019,140,7.2,English,Friday
The Road to El Camino: A Breaking Bad Movie,Making-of,10/29/2019,13,7.2,English,Tuesday
The Siege of Jadotville,War,10/7/2016,108,7.2,English,Friday
Zion ,Documentary,8/10/2018,11,7.2,English,Friday
Dolemite Is My Name,Biopic,10/25/2019,118,7.3,English,Friday
El Camino: A Breaking Bad Movie,Crime drama,10/11/2019,121,7.3,English,Friday
Extremis,Documentary,9/13/2016,24,7.3,English,Tuesday
Father Soldier Son,Documentary,7/17/2020,100,7.3,English,Friday
Get Me Roger Stone,Documentary,5/12/2017,101,7.3,English,Friday
I'm No Longer Here,Drama,5/27/2020,105,7.3,Spanish,Wednesday
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,7/8/2020,96,7.3,Spanish/English,Wednesday
Octonauts & the Great Barrier Reef,Animation,10/13/2020,47,7.3,English,Tuesday
Okja,Action-adventure,6/28/2017,121,7.3,English/Korean,Wednesday
On My Skin,Crime drama,9/12/2018,100,7.3,Italian,Wednesday
Raat Akeli Hai,Thriller,7/31/2020,149,7.3,Hindi,Friday
ReMastered: Massacre at the Stadium,Documentary,1/11/2019,64,7.3,English/Spanish,Friday
ReMastered: The Two Killings of Sam Cooke,Documentary,2/8/2019,64,7.3,English,Friday
Secrets of the Saqqara Tomb,Documentary,10/28/2020,114,7.3,English/Arabic,Wednesday
Sitara: Let Girls Dream,Animation / Short,3/8/2020,15,7.3,English,Sunday
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,10/14/2016,79,7.3,English/Mandarin,Friday
Team Foxcatcher,Documentary,4/29/2016,90,7.3,English/Russian,Friday
The Ballad of Buster Scruggs,Western,11/16/2018,132,7.3,English,Friday
The Death and Life of Marsha P. Johnson,Documentary,10/6/2017,105,7.3,English,Friday
The Fundamentals of Caring,Comedy-drama,6/24/2016,97,7.3,English,Friday
The Other One: The Long Strange Trip of Bob Weir,Documentary,5/22/2015,83,7.3,English,Friday
American Factory,Documentary,8/21/2019,110,7.4,English,Wednesday
Fire in Paradise,Documentary,11/1/2019,39,7.4,English,Friday
Long Shot,Documentary,9/29/2017,40,7.4,English,Friday
Miss Americana,Documentary,1/31/2020,85,7.4,English,Friday
Period. End of Sentence.,Documentary,2/12/2019,26,7.4,English/Hindi,Tuesday
Shawn Mendes: Live in Concert,Concert Film,11/25/2020,87,7.4,English,Wednesday
Shirkers,Documentary,10/26/2018,97,7.4,English,Friday
The Black Godfather,Documentary,6/7/2019,118,7.4,English,Friday
The Irishman: In Conversation,Aftershow / Interview,11/27/2019,23,7.4,English,Wednesday
The Speed Cubers,Documentary,7/29/2020,40,7.4,English,Wednesday
They'll Love Me When I'm Dead,Documentary,11/2/2018,98,7.4,English,Friday
Tig,Documentary,7/17/2015,80,7.4,English,Friday
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,11/22/2017,108,7.5,English,Wednesday
Blackpink: Light Up the Sky,Documentary,10/14/2020,79,7.5,Korean,Wednesday
City of Joy,Documentary,9/7/2018,74,7.5,English,Friday
Dick Johnson Is Dead,Documentary,10/2/2020,90,7.5,English,Friday
Homecoming: A Film by Beyonce ,Documentary,4/17/2019,137,7.5,English,Wednesday
Invader Zim: Enter the Florpus,Animation / Science Fiction,8/16/2019,71,7.5,English,Friday
Joan Didion: The Center Will Not Hold,Documentary,10/27/2017,98,7.5,English,Friday
John Mulaney & the Sack Lunch Bunch,Variety show,12/24/2019,70,7.5,English,Tuesday
Reversing Roe,Documentary,9/13/2018,99,7.5,English,Thursday
The White Helmets,Documentary,9/16/2016,40,7.5,English,Friday
Athlete A,Documentary,6/24/2020,104,7.6,English,Wednesday
Ludo,Anthology/Dark comedy,11/12/2020,149,7.6,Hindi,Thursday
Quincy,Documentary,9/21/2018,124,7.6,English,Friday
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,6/12/2019,144,7.6,English,Wednesday
Tell Me Who I Am,Documentary,10/18/2019,85,7.6,English,Friday
The Bleeding Edge,Documentary,7/27/2018,100,7.6,English,Friday
The Social Dilemma,Documentary,9/9/2020,94,7.6,English,Wednesday
The Two Popes,Drama,12/20/2019,125,7.6,English,Friday
"What Happened, Miss Simone?",Documentary,6/26/2015,84,7.6,English,Friday
Yeh Ballet,Drama,2/21/2020,117,7.6,Hindi,Friday
Anima,Musical / Short,6/27/2019,15,7.7,English,Thursday
Beasts of No Nation,War drama,10/16/2015,136,7.7,English/Akan,Friday
Brene Brown: The Call to Courage,Documentary,4/19/2019,76,7.7,English,Friday
Crip Camp: A Disability Revolution,Documentary,3/25/2020,108,7.7,English,Wednesday
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,11/17/2017,94,7.7,English,Friday
Justin Timberlake + The Tennessee Kids,Concert Film,10/12/2016,90,7.7,English,Wednesday
Road to Roma,Making-of,2/11/2020,72,7.7,Spanish,Tuesday
Roma,Drama,12/14/2018,135,7.7,Spanish,Friday
If Anything Happens I Love You,Animation / Short,11/20/2020,12,7.8,English,Friday
The Irishman,Crime drama,11/27/2019,209,7.8,English,Wednesday
The Trial of the Chicago 7,Drama,10/16/2020,130,7.8,English,Friday
A Secret Love,Documentary,4/29/2020,82,7.9,English,Wednesday
Icarus,Documentary,8/4/2017,120,7.9,English,Friday
Marriage Story,Drama,12/6/2019,136,7.9,English,Friday
The Ivory Game,Documentary,11/4/2016,112,7.9,English,Friday
Struggle: The Life and Lost Art of Szukaiski,Documentary,12/21/2018,105,8.0,English,Friday
Chasing Coral ,Documentary,7/14/2017,89,8.1,English,Friday
My Octopus Teacher,Documentary,9/7/2020,85,8.1,English,Monday
Rising Phoenix,Documentary,8/26/2020,106,8.1,English,Wednesday
13th,Documentary,10/7/2016,100,8.2,English,Friday
Disclosure: Trans Lives on Screen,Documentary,6/19/2020,107,8.2,English,Friday
Klaus,Animation/Christmas/Comedy/Adventure,11/15/2019,97,8.2,English,Friday
Seaspiracy,Documentary,3/24/2021,89,8.2,English,Wednesday
The Three Deaths of Marisela Escobedo,Documentary,10/14/2020,109,8.2,Spanish,Wednesday
Cuba and the Cameraman ,Documentary,11/24/2017,114,8.3,English,Friday
Dancing with the Birds,Documentary,10/23/2019,51,8.3,English,Wednesday
Ben Platt: Live from Radio City Music Hall,Concert Film,5/20/2020,85,8.4,English,Wednesday
Taylor Swift: Reputation Stadium Tour,Concert Film,12/31/2018,125,8.4,English,Monday
Winter on Fire: Ukraine's Fight for Freedom,Documentary,10/9/2015,91,8.4,English/Ukranian/Russian,Friday
Springsteen on Broadway,One-man show,12/16/2018,153,8.5,English,Sunday
Emicida: AmarElo - It's All For Yesterday,Documentary,12/8/2020,89,8.6,Portuguese,Tuesday
David Attenborough: A Life on Our Planet,Documentary,10/4/2020,83,9.0,English,Sunday
